company_name,total_responses_2025,want_count_2025,unsure_count_2025,not_want_count_2025,unknown_brand_count_2025,avg_response_score_2025,want_pct_2025,unsure_pct_2025,not_want_pct_2025,unknown_brand_pct_2025,rank_want_2025,rank_not_want_2025,rank_unknown_brand_2025
ONAY,1228,175,348,616,89,-0.6163301141352063,0.1425081433224755,0.2833876221498371,0.501628664495114,0.0724755700325733,37,11,38
Prime Source,1228,103,296,457,372,-0.6623831775700935,0.0838762214983713,0.2410423452768729,0.3721498371335505,0.3029315960912052,49,26,20
QazCode,1228,175,263,289,501,-0.2324621733149931,0.1425081433224755,0.2141693811074918,0.2353420195439739,0.4079804560260586,37,50,12
Qiwi,1228,117,352,712,47,-0.7756138865368332,0.0952768729641693,0.2866449511400651,0.5798045602605864,0.0382736156351791,45,5,44
Rocket Tech,1228,160,269,299,500,-0.3186813186813186,0.1302931596091205,0.2190553745928338,0.2434853420195439,0.4071661237785016,41,49,13
STRONG Team,1228,79,266,237,646,-0.4347079037800687,0.0643322475570032,0.2166123778501628,0.1929967426710097,0.5260586319218241,53,57,8
Sergek Group,1228,279,291,477,181,-0.3753581661891118,0.2271986970684039,0.2369706840390879,0.3884364820846905,0.1473941368078176,20,24,29
Sulpak,1228,113,344,759,12,-0.7985197368421053,0.0920195439739413,0.2801302931596091,0.6180781758957655,0.009771986970684,46,2,54
T-Bank (Tinkoff R&D),1228,548,245,314,121,0.2330623306233062,0.4462540716612377,0.1995114006514658,0.255700325732899,0.0985342019543974,7,47,33
TSARKA,1228,294,230,282,422,-0.0248138957816377,0.2394136807817589,0.1872964169381107,0.2296416938110749,0.3436482084690553,18,52,16
Tarlan Payments,1228,36,239,355,598,-0.7952380952380952,0.0293159609120521,0.1946254071661237,0.2890879478827362,0.4869706840390879,62,39,10
Technodom,1228,216,356,641,15,-0.5358615004122012,0.1758957654723127,0.2899022801302932,0.5219869706840391,0.012214983713355,28,10,53
Tele2/Altel,1228,435,359,429,5,-0.0752248569092395,0.3542345276872964,0.2923452768729642,0.3493485342019544,0.004071661237785,9,29,57
Wooppay,1228,181,369,352,326,-0.311529933481153,0.1473941368078176,0.3004885993485342,0.2866449511400651,0.265472312703583,34,40,24
Yandex Qazaqstan,1228,794,176,253,5,0.6026165167620605,0.6465798045602605,0.1433224755700325,0.2060260586319218,0.004071661237785,1,54,57
abr tech (abr+),1228,289,355,342,242,-0.1298174442190669,0.2353420195439739,0.2890879478827362,0.2785016286644951,0.1970684039087948,19,43,26
iHub Centras Group,1228,50,227,207,744,-0.5433884297520661,0.0407166123778501,0.1848534201954397,0.1685667752442996,0.6058631921824105,59,63,4
iQSolutions,1228,40,212,242,734,-0.6518218623481782,0.0325732899022801,0.1726384364820846,0.1970684039087948,0.5977198697068404,60,55,5
Казахтелеком,1228,262,219,741,6,-0.6129296235679215,0.2133550488599348,0.1783387622149837,0.6034201954397395,0.004885993485342,26,4,56
Национальные информационные технологии (АО «НИТ»),1228,180,214,599,235,-0.7139979859013091,0.1465798045602606,0.1742671009771987,0.4877850162866449,0.1913680781758957,35,14,27
Первое Кредитное Бюро (ПКБ),1228,170,251,537,270,-0.6231732776617954,0.1384364820846905,0.2043973941368078,0.4372964169381108,0.2198697068403908,40,19,25
Центральный депозитарий ценных бумаг (KCSD),1228,122,238,419,449,-0.6290115532734275,0.0993485342019544,0.1938110749185667,0.3412052117263843,0.3656351791530944,44,31,15
